,Country,Year,tp10,tp5,tp1,t,tf1,tf5,tf10,item,op10,op5,op1,o,of1,of5,of10
11,Afghanistan,1986,13.70858333,14.86008333,14.88875,14.22316667,14.984,14.37075,14.426,Almonds- with shell,9800,8000,9000,10000,9000,9000,9000
12,Afghanistan,1987,14.80541667,13.73308333,14.22316667,14.984,15.389,14.05608333,14.904,Almonds- with shell,9000,11000,10000,9000,9000,9900,9000
13,Afghanistan,1988,14.32966667,14.61483333,14.984,15.389,14.12575,14.43925,15.1325,Almonds- with shell,12000,9700,9000,9000,8800,9000,9000
14,Afghanistan,1989,14.26208333,14.24583333,15.389,14.12575,14.99333333,14.75475,15.38875,Almonds- with shell,10500,10500,9000,8800,9500,9000,11000
15,Afghanistan,1990,14.88733333,14.88875,14.12575,14.99333333,14.37075,14.85916667,15.49783333,Almonds- with shell,9900,9000,8800,9500,9000,9000,12000
16,Afghanistan,1991,14.86008333,14.22316667,14.99333333,14.37075,14.05608333,14.426,15.77808333,Almonds- with shell,8000,10000,9500,9000,9900,9000,15000
17,Afghanistan,1992,13.73308333,14.984,14.37075,14.05608333,14.43925,14.904,15.53766667,Almonds- with shell,11000,9000,9000,9900,9000,9000,15349
18,Afghanistan,1993,14.61483333,15.389,14.05608333,14.43925,14.75475,15.1325,14.916,Almonds- with shell,9700,9000,9900,9000,9000,9000,14000
19,Afghanistan,1994,14.24583333,14.12575,14.43925,14.75475,14.85916667,15.38875,15.77091667,Almonds- with shell,10500,8800,9000,9000,9000,11000,14700
20,Afghanistan,1995,14.88875,14.99333333,14.75475,14.85916667,14.426,15.49783333,14.98,Almonds- with shell,9000,9500,9000,9000,9000,12000,15630
21,Afghanistan,1996,14.22316667,14.37075,14.85916667,14.426,14.904,15.77808333,15.59558333,Almonds- with shell,10000,9000,9000,9000,9000,15000,20000
22,Afghanistan,1997,14.984,14.05608333,14.426,14.904,15.1325,15.53766667,15.10616667,Almonds- with shell,9000,9900,9000,9000,9000,15349,31481
23,Afghanistan,1998,15.389,14.43925,14.904,15.1325,15.38875,14.916,15.2165,Almonds- with shell,9000,9000,9000,9000,11000,14000,42000
24,Afghanistan,1999,14.12575,14.75475,15.1325,15.38875,15.49783333,15.77091667,15.25775,Almonds- with shell,8800,9000,9000,11000,12000,14700,43183
25,Afghanistan,2000,14.99333333,14.85916667,15.38875,15.49783333,15.77808333,14.98,15.82866667,Almonds- with shell,9500,9000,11000,12000,15000,15630,56000
26,Afghanistan,2001,14.37075,14.426,15.49783333,15.77808333,15.53766667,15.59558333,15.518,Almonds- with shell,9000,9000,12000,15000,15349,20000,60611
27,Afghanistan,2002,14.05608333,14.904,15.77808333,15.53766667,14.916,15.10616667,14.48158333,Almonds- with shell,9900,9000,15000,15349,14000,31481,62000
28,Afghanistan,2003,14.43925,15.1325,15.53766667,14.916,15.77091667,15.2165,16.533625,Almonds- with shell,9000,9000,15349,14000,14700,42000,42215
49,Afghanistan,1996,14.22316667,14.37075,14.85916667,14.426,14.904,15.77808333,15.59558333,Anise- badian- fennel- coriander,500,1005,2000,4200,2500,1000,10458
50,Afghanistan,1997,14.984,14.05608333,14.426,14.904,15.1325,15.53766667,15.10616667,Anise- badian- fennel- coriander,500,500,4200,2500,7100,2000,17000
51,Afghanistan,1998,15.389,14.43925,14.904,15.1325,15.38875,14.916,15.2165,Anise- badian- fennel- coriander,200,582,2500,7100,7000,4100,9000
52,Afghanistan,1999,14.12575,14.75475,15.1325,15.38875,15.49783333,15.77091667,15.25775,Anise- badian- fennel- coriander,800,353,7100,7000,2500,9000,8373
53,Afghanistan,2000,14.99333333,14.85916667,15.38875,15.49783333,15.77808333,14.98,15.82866667,Anise- badian- fennel- coriander,1000,2000,7000,2500,1000,10000,10200
54,Afghanistan,2001,14.37075,14.426,15.49783333,15.77808333,15.53766667,15.59558333,15.518,Anise- badian- fennel- coriander,1005,4200,2500,1000,2000,10458,12055
55,Afghanistan,2002,14.05608333,14.904,15.77808333,15.53766667,14.916,15.10616667,14.48158333,Anise- badian- fennel- coriander,500,2500,1000,2000,4100,17000,12500
56,Afghanistan,2003,14.43925,15.1325,15.53766667,14.916,15.77091667,15.2165,16.533625,Anise- badian- fennel- coriander,582,7100,2000,4100,9000,9000,12500
77,Afghanistan,1971,14.06491667,14.343,14.78308333,14.8235,12.54716667,13.70858333,14.86008333,Apples,15100,22800,27300,21500,26600,26200,22100
78,Afghanistan,1972,13.76866667,13.66325,14.8235,12.54716667,14.2355,14.80541667,13.73308333,Apples,15100,27600,21500,26600,27600,15500,21400
79,Afghanistan,1973,15.03341667,13.76233333,12.54716667,14.2355,13.31675,14.32966667,14.61483333,Apples,15100,27900,26600,27600,27800,22700,20800
80,Afghanistan,1974,13.08491667,13.80508333,14.2355,13.31675,13.54808333,14.26208333,14.24583333,Apples,18400,28200,27600,27800,27900,21600,20000
81,Afghanistan,1975,14.10183333,14.78308333,13.31675,13.54808333,13.70858333,14.88733333,14.88875,Apples,20400,27300,27800,27900,26200,22300,19100
82,Afghanistan,1976,14.343,14.8235,13.54808333,13.70858333,14.80541667,14.86008333,14.22316667,Apples,22800,21500,27900,26200,15500,22100,19400
83,Afghanistan,1977,13.66325,12.54716667,13.70858333,14.80541667,14.32966667,13.73308333,14.984,Apples,27600,26600,26200,15500,22700,21400,16600
84,Afghanistan,1978,13.76233333,14.2355,14.80541667,14.32966667,14.26208333,14.61483333,15.389,Apples,27900,27600,15500,22700,21600,20800,16900
85,Afghanistan,1979,13.80508333,13.31675,14.32966667,14.26208333,14.88733333,14.24583333,14.12575,Apples,28200,27800,22700,21600,22300,20000,16900
86,Afghanistan,1980,14.78308333,13.54808333,14.26208333,14.88733333,14.86008333,14.88875,14.99333333,Apples,27300,27900,21600,22300,22100,19100,16867
87,Afghanistan,1981,14.8235,13.70858333,14.88733333,14.86008333,13.73308333,14.22316667,14.37075,Apples,21500,26200,22300,22100,21400,19400,16913
88,Afghanistan,1982,12.54716667,14.80541667,14.86008333,13.73308333,14.61483333,14.984,14.05608333,Apples,26600,15500,22100,21400,20800,16600,17200
89,Afghanistan,1983,14.2355,14.32966667,13.73308333,14.61483333,14.24583333,15.389,14.43925,Apples,27600,22700,21400,20800,20000,16900,17000
90,Afghanistan,1984,13.31675,14.26208333,14.61483333,14.24583333,14.88875,14.12575,14.75475,Apples,27800,21600,20800,20000,19100,16900,17500
